id,created_at,genero,edad,estado_civil,educacion,estado_votante,tema_importante_eleccion,prioridad_candidato,frecuencia_voto,cargo,postura_economica,postura_sobre_seguridad,prioridad_politica,fuente_informacion,experiencia_candidato,tendencia_ideológica,entidad_candidato,partido
1,2025-11-13T12:33:19.851770,Femenino,60+ (votantes experimentados de larga trayectoria),Unión libre,Posgrado,Primera vez que voto,Medio ambiente y sustentabilidad,Carisma y liderazgo,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Reformas profundas al sistema de justicia,Igualdad de género y derechos humanos,Debates o foros políticos en línea,He participado en campañas o debates políticos,Liberal (libertades individuales y económicas),Quintana Roo,PARTIDO VERDE ECOLOGISTA DE MÉXICO
2,2025-11-13T12:33:19.851794,Otro / Prefiero no decirlo,26–35 (adultos jóvenes con interés político),Divorciado(a),Preparatoria / Bachillerato,Votante experimentado en elecciones federales,Salud y bienestar,Empatía con la ciudadanía,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Más tecnología y vigilancia inteligente,Igualdad de género y derechos humanos,Periódicos digitales y portales de noticias,No tengo mucho conocimiento político,Liberal (libertades individuales y económicas),Tabasco,PARTIDO VERDE ECOLOGISTA DE MÉXICO
3,2025-11-13T12:33:19.851800,Otro / Prefiero no decirlo,26–35 (adultos jóvenes con interés político),Soltero(a),Secundaria,Votante frecuente en elecciones locales,Corrupción y transparencia gubernamental,Empatía con la ciudadanía,"Siempre voto, soy un votante experimentado y activo",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Reformas profundas al sistema de justicia,Igualdad de género y derechos humanos,Periódicos digitales y portales de noticias,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Colima,PARTIDO VERDE ECOLOGISTA DE MÉXICO
4,2025-11-13T12:33:19.851805,Otro / Prefiero no decirlo,46–60 (seguimiento político frecuente),Unión libre,Universidad,Votante experimentado en elecciones federales,Corrupción y transparencia gubernamental,Experiencia política sólida,"He votado pocas veces, tengo poca experiencia",PRESIDENCIA DE LA REPÚBLICA,Reducción de impuestos para incentivar inversión,Prevención y educación en comunidades,Salud pública y servicios médicos,Amigos y familia,Sigo noticias políticas con frecuencia,Liberal (libertades individuales y económicas),Nayarit,PARTIDO VERDE ECOLOGISTA DE MÉXICO
5,2025-11-13T12:33:19.851810,Masculino,60+ (votantes experimentados de larga trayectoria),Divorciado(a),Secundaria,Votante experimentado en elecciones federales,Seguridad y justicia,Honestidad ante todo,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Reformas profundas al sistema de justicia,Igualdad de género y derechos humanos,Periódicos digitales y portales de noticias,He participado en campañas o debates políticos,Conservadora (valores tradicionales),Baja California Sur,PARTIDO VERDE ECOLOGISTA DE MÉXICO
6,2025-11-13T12:33:19.851815,Femenino,60+ (votantes experimentados de larga trayectoria),Casado(a),Preparatoria / Bachillerato,Nunca he votado pero estoy interesado,Corrupción y transparencia gubernamental,Experiencia política sólida,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Reformas profundas al sistema de justicia,Igualdad de género y derechos humanos,Debates o foros políticos en línea,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Baja California Sur,PARTIDO VERDE ECOLOGISTA DE MÉXICO
7,2025-11-13T12:33:19.851819,Otro / Prefiero no decirlo,36–45 (votantes activos con experiencia),Viudo(a),Posgrado,He votado pocas veces,Economía y empleo,Carisma y liderazgo,"Voto a veces, tengo interés moderado",PRESIDENCIA DE LA REPÚBLICA,Mayor gasto social y apoyo a programas públicos,Prevención y educación en comunidades,Igualdad de género y derechos humanos,Debates o foros políticos en línea,No tengo mucho conocimiento político,Conservadora (valores tradicionales),Aguascalientes,PARTIDO VERDE ECOLOGISTA DE MÉXICO
8,2025-11-13T12:33:19.851824,Masculino,26–35 (adultos jóvenes con interés político),Casado(a),Secundaria,Primera vez que voto,Seguridad y justicia,Empatía con la ciudadanía,"He votado pocas veces, tengo poca experiencia",PRESIDENCIA DE LA REPÚBLICA,Fomento al emprendimiento privado y nuevas empresas,Mano dura contra la delincuencia,Cuidado del medio ambiente,Periódicos digitales y portales de noticias,Sigo noticias políticas con frecuencia,Progresista (enfocado en cambio social),Querétaro,PARTIDO VERDE ECOLOGISTA DE MÉXICO
9,2025-11-13T12:33:19.851829,Femenino,46–60 (seguimiento político frecuente),Unión libre,Universidad,Primera vez que voto,Seguridad y justicia,Empatía con la ciudadanía,"Casi siempre voto, estoy bastante involucrado",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Reformas profundas al sistema de justicia,Igualdad de género y derechos humanos,Amigos y familia,No tengo mucho conocimiento político,Progresista (enfocado en cambio social),Oaxaca,PARTIDO VERDE ECOLOGISTA DE MÉXICO
10,2025-11-13T12:33:19.851834,Femenino,60+ (votantes experimentados de larga trayectoria),Casado(a),Preparatoria / Bachillerato,Primera vez que voto,Economía y empleo,Capacidad técnica para gobernar,"Nunca he votado, soy nuevo votante",PRESIDENCIA DE LA REPÚBLICA,Regulación estatal estricta para controlar precios,Más tecnología y vigilancia inteligente,Educación y acceso a oportunidades,Debates o foros políticos en línea,Sigo noticias políticas con frecuencia,Neutral / Independiente (sin afiliación política),Sonora,PARTIDO VERDE ECOLOGISTA DE MÉXICO
